#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
PRO   CB    CT   1.9    0.72
PRO   HB2    HC   1.25    0.85
PRO   HB3    HC   1.25    0.85
PRO   CA    CT   1.9    0.72
PRO   HA    H1   1.25    0.85
PRO   C    C   1.875    0.72
PRO   O    O   1.48    0.85
CYS   N    N   1.7063    0.79
CYS   H    H   1.15    0.85
CYS   CA    CT   1.9    0.72
CYS   HA    H1   1.25    0.85
CYS   CB    CT   1.9    0.72
CYS   HB2    H1   1.25    0.85
CYS   HB3    H1   1.25    0.85
CYS   SG    SH   1.775    0.96
CYS   HG    HS   1.25    0.85
CYS   C    C   1.875    0.72
CYS   O    O   1.48    0.85
CYT   N    N   1.7063    0.79
CYT   H    H   1.15    0.85
CYT   CA    CT   1.9    0.72
CYT   HA    H1   1.25    0.85
CYT   CB    CT   1.9    0.72
CYT   HB2    H1   1.25    0.85
CYT   HB3    H1   1.25    0.85
CYT   SG    SH   1.775    0.96
CYT   C    C   1.875    0.72
CYT   O    O   1.48    0.85
CYX   N    N   1.7063    0.79
CYX   H    H   1.15    0.85
CYX   CA    CT   1.9    0.72
CYX   HA    H1   1.25    0.85
CYX   CB    CT   1.9    0.72
CYX   HB2    H1   1.25    0.85
CYX   HB3    H1   1.25    0.85
CYX   SG    S   1.775    0.96
CYX   C    C   1.875    0.72
CYX   O    O   1.48    0.85
MET   N    N   1.7063    0.79
MET   H    H   1.15    0.85
MET   CA    CT   1.9    0.72
MET   HA    H1   1.25    0.85
MET   CB    CT   1.9    0.72
MET   HB2    HC   1.25    0.85
MET   HB3    HC   1.25    0.85
MET   CG    CT   1.9    0.72
MET   HG2    H1   1.25    0.85
MET   HG3    H1   1.25    0.85
MET   SD    S   1.775    0.96
MET   CE    CT   1.9    0.72
MET   HE1    H1   1.25    0.85
MET   HE2    H1   1.25    0.85
MET   HE3    H1   1.25    0.85
MET   C    C   1.875    0.72
MET   O    O   1.48    0.85
ASH   N    N   1.7063    0.79
ASH   H    H   1.15    0.85
ASH   CA    CT   1.9    0.72
ASH   HA    H1   1.25    0.85
ASH   CB    CT   1.9    0.72
ASH   HB2    HC   1.25    0.85
ASH   HB3    HC   1.25    0.85
ASH   CG    C   1.875    0.72
ASH   OD1    O   1.48    0.85
ASH   OD2    OH   1.535    0.85
ASH   HD2    HO   1.05    0.85
ASH   C    C   1.875    0.72
ASH   O    O   1.48    0.85
GLH   N    N   1.7063    0.79
GLH   H    H   1.15    0.85
GLH   CA    CT   1.9    0.72
GLH   HA    H1   1.25    0.85
