#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
DG   N2    N2   1.7063    0.79
DG   H21    H   1.15    0.85
DG   H22    H   1.15    0.85
DG   N3    NC   2.00    0.80 
DG   C4    CB   1.875    0.72
DG   C3'    CT   1.9    0.72
DG   H3'    H1   1.25    0.85
DG   C2'    CT   1.9    0.72
DG   H2'    HC   1.25    0.85
DG   H2''    HC   1.25    0.85
DG   O3'    OS   2.00    0.80 
DGE   P    P   2.00    0.80 
DGE   OP1    O2   1.48    0.85
DGE   OP2    O2   1.48    0.85
DGE   O5'    OS   2.00    0.80 
DGE   C5'    CT   1.9    0.72
DGE   H5'    H1   1.25    0.85
DGE   H5''    H1   1.25    0.85
DGE   C4'    CT   1.9    0.72
DGE   H4'    H1   1.25    0.85
DGE   O4'    OS   2.00    0.80 
DGE   C1'    CT   1.9    0.72
DGE   H1'    H2   2.00    0.80 
DGE   N9    N*   2.00    0.80 
DGE   C8    CK   2.00    0.80 
DGE   H8    H5   1.25    0.85
DGE   N7    NB   1.7063    0.79
DGE   C5    CB   1.875    0.72
DGE   C6    C   1.875    0.72
DGE   O6    O   1.48    0.85
DGE   N1    NA   1.7063    0.79
DGE   H1    H   1.15    0.85
DGE   C2    CA   1.875    0.72
DGE   N2    N2   1.7063    0.79
DGE   H21    H   1.15    0.85
DGE   H22    H   1.15    0.85
DGE   N3    NC   2.00    0.80 
DGE   C4    CB   1.875    0.72
DGE   C3'    CT   1.9    0.72
DGE   H3'    H1   1.25    0.85
DGE   C2'    CT   1.9    0.72
DGE   H2'    HC   1.25    0.85
DGE   H2''    HC   1.25    0.85
DGE   O3'    OH   1.535    0.85
DGE   HO3'    HO   1.05    0.85
DCB   HO5'    HO   1.05    0.85
DCB   O5'    OH   1.535    0.85
DCB   C5'    CT   1.9    0.72
DCB   H5'    H1   1.25    0.85
DCB   H5''    H1   1.25    0.85
DCB   C4'    CT   1.9    0.72
DCB   H4'    H1   1.25    0.85
DCB   O4'    OS   2.00    0.80 
DCB   C1'    CT   1.9    0.72
DCB   H1'    H2   2.00    0.80 
DCB   N1    N*   2.00    0.80 
DCB   C6    CM   2.00    0.80 
DCB   H6    H4   1.15    0.85
DCB   C5    CM   2.00    0.80 
DCB   H5    HA   1.25    0.85
DCB   C4    CA   1.875    0.72
DCB   N4    N2   1.7063    0.79
DCB   H41    H   1.15    0.85
DCB   H42    H   1.15    0.85
DCB   N3    NC   2.00    0.80 
DCB   C2    C   1.875    0.72
DCB   O2    O   1.48    0.85
DCB   C3'    CT   1.9    0.72
DCB   H3'    H1   1.25    0.85
DCB   C2'    CT   1.9    0.72
DCB   H2'    HC   1.25    0.85
DCB   H2''    HC   1.25    0.85
DCB   O3'    OS   2.00    0.80 
DC   P    P   2.00    0.80 
DC   OP1    O2   1.48    0.85
DC   OP2    O2   1.48    0.85
DC   O5'    OS   2.00    0.80 
DC   C5'    CT   1.9    0.72
DC   H5'    H1   1.25    0.85
DC   H5''    H1   1.25    0.85
DC   C4'    CT   1.9    0.72
DC   H4'    H1   1.25    0.85
DC   O4'    OS   2.00    0.80 
DC   C1'    CT   1.9    0.72
DC   H1'    H2   2.00    0.80 
DC   N1    N*   2.00    0.80 
DC   C6    CM   2.00    0.80 
DC   H6    H4   1.15    0.85
DC   C5    CM   2.00    0.80 
DC   H5    HA   1.25    0.85
DC   C4    CA   1.875    0.72
DC   N4    N2   1.7063    0.79
DC   H41    H   1.15    0.85
DC   H42    H   1.15    0.85
DC   N3    NC   2.00    0.80 
DC   C2    C   1.875    0.72
DC   O2    O   1.48    0.85
DC   C3'    CT   1.9    0.72
DC   H3'    H1   1.25    0.85
DC   C2'    CT   1.9    0.72
DC   H2'    HC   1.25    0.85
DC   H2''    HC   1.25    0.85
DC   O3'    OS   2.00    0.80 
DCE   P    P   2.00    0.80 
DCE   OP1    O2   1.48    0.85
DCE   OP2    O2   1.48    0.85
DCE   O5'    OS   2.00    0.80 
DCE   C5'    CT   1.9    0.72
DCE   H5'    H1   1.25    0.85
DCE   H5''    H1   1.25    0.85
DCE   C4'    CT   1.9    0.72
DCE   H4'    H1   1.25    0.85
DCE   O4'    OS   2.00    0.80 
DCE   C1'    CT   1.9    0.72
DCE   H1'    H2   2.00    0.80 
DCE   N1    N*   2.00    0.80 
DCE   C6    CM   2.00    0.80 
DCE   H6    H4   1.15    0.85
DCE   C5    CM   2.00    0.80 
DCE   H5    HA   1.25    0.85
DCE   C4    CA   1.875    0.72
DCE   N4    N2   1.7063    0.79
DCE   H41    H   1.15    0.85
DCE   H42    H   1.15    0.85
DCE   N3    NC   2.00    0.80 
DCE   C2    C   1.875    0.72
DCE   O2    O   1.48    0.85
DCE   C3'    CT   1.9    0.72
DCE   H3'    H1   1.25    0.85
DCE   C2'    CT   1.9    0.72
DCE   H2'    HC   1.25    0.85
DCE   H2''    HC   1.25    0.85
DCE   O3'    OH   1.535    0.85
DCE   HO3'    HO   1.05    0.85
#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
AB   HO5'    HO   1.05    0.85
AB   O5'    OH   1.535    0.85
AB   C5'    CT   1.9    0.72
AB   H5'    H1   1.25    0.85
AB   H5''    H1   1.25    0.85
AB   C4'    CT   1.9    0.72
AB   H4'    H1   1.25    0.85
AB   O4'    OS   2.00    0.80 
AB   C1'    CT   1.9    0.72
AB   H1'    H2   2.00    0.80 
AB   N9    N*   2.00    0.80 
AB   C8    CK   2.00    0.80 
AB   H8    H5   1.25    0.85
AB   N7    NB   1.7063    0.79
AB   C5    CB   1.875    0.72
AB   C6    CA   1.875    0.72
AB   N6    N2   1.7063    0.79
AB   H61    H   1.15    0.85
AB   H62    H   1.15    0.85
AB   N1    NC   2.00    0.80 
AB   C2    CQ   2.00    0.80 
AB   H2    H5   1.25    0.85
AB   N3    NC   2.00    0.80 
AB   C4    CB   1.875    0.72
AB   C3'    CT   1.9    0.72
AB   H3'    H1   1.25    0.85
AB   C2'    CT   1.9    0.72
AB   H2'    H1   1.25    0.85
AB   O2'    OH   1.535    0.85
AB   HO2'    HO   1.05    0.85
AB   O3'    OS   2.00    0.80 
A   P    P   2.00    0.80 
A   OP1    O2   1.48    0.85
A   OP2    O2   1.48    0.85
A   O5'    OS   2.00    0.80 
A   C5'    CT   1.9    0.72
A   H5'    H1   1.25    0.85
A   H5''    H1   1.25    0.85
A   C4'    CT   1.9    0.72
A   H4'    H1   1.25    0.85
A   O4'    OS   2.00    0.80 
A   C1'    CT   1.9    0.72
A   H1'    H2   2.00    0.80 
A   N9    N*   2.00    0.80 
A   C8    CK   2.00    0.80 
A   H8    H5   1.25    0.85
A   N7    NB   1.7063    0.79
A   C5    CB   1.875    0.72
A   C6    CA   1.875    0.72
A   N6    N2   1.7063    0.79
A   H61    H   1.15    0.85
A   H62    H   1.15    0.85
A   N1    NC   2.00    0.80 
A   C2    CQ   2.00    0.80 
A   H2    H5   1.25    0.85
A   N3    NC   2.00    0.80 
A   C4    CB   1.875    0.72
A   C3'    CT   1.9    0.72
A   H3'    H1   1.25    0.85
A   C2'    CT   1.9    0.72
A   H2'    H1   1.25    0.85
A   O2'    OH   1.535    0.85
A   HO2'    HO   1.05    0.85
A   O3'    OS   2.00    0.80 
AE   P    P   2.00    0.80 
AE   OP1    O2   1.48    0.85
AE   OP2    O2   1.48    0.85
AE   O5'    OS   2.00    0.80 
AE   C5'    CT   1.9    0.72
AE   H5'    H1   1.25    0.85
AE   H5''    H1   1.25    0.85
AE   C4'    CT   1.9    0.72
AE   H4'    H1   1.25    0.85
AE   O4'    OS   2.00    0.80 
AE   C1'    CT   1.9    0.72
AE   H1'    H2   2.00    0.80 
AE   N9    N*   2.00    0.80 
AE   C8    CK   2.00    0.80 
AE   H8    H5   1.25    0.85
AE   N7    NB   1.7063    0.79
AE   C5    CB   1.875    0.72
AE   C6    CA   1.875    0.72
AE   N6    N2   1.7063    0.79
AE   H61    H   1.15    0.85
AE   H62    H   1.15    0.85
AE   N1    NC   2.00    0.80 
AE   C2    CQ   2.00    0.80 
AE   H2    H5   1.25    0.85
AE   N3    NC   2.00    0.80 
AE   C4    CB   1.875    0.72
AE   C3'    CT   1.9    0.72
AE   H3'    H1   1.25    0.85
AE   C2'    CT   1.9    0.72
AE   H2'    H1   1.25    0.85
AE   O2'    OH   1.535    0.85
AE   HO2'    HO   1.05    0.85
AE   O3'    OH   1.535    0.85
AE   HO3'    HO   1.05    0.85
UB   HO5'    HO   1.05    0.85
UB   O5'    OH   1.535    0.85
UB   C5'    CT   1.9    0.72
UB   H5'    H1   1.25    0.85
UB   H5''    H1   1.25    0.85
UB   C4'    CT   1.9    0.72
UB   H4'    H1   1.25    0.85
UB   O4'    OS   2.00    0.80 
UB   C1'    CT   1.9    0.72
UB   H1'    H2   2.00    0.80 
UB   N1    N*   2.00    0.80 
UB   C6    CM   2.00    0.80 
UB   H6    H4   1.15    0.85
UB   C5    CM   2.00    0.80 
UB   H5    HA   1.25    0.85
UB   C4    C   1.875    0.72
UB   O4    O   1.48    0.85
UB   N3    NA   1.7063    0.79
UB   H3    H   1.15    0.85
UB   C2    C   1.875    0.72
UB   O2    O   1.48    0.85
UB   C3'    CT   1.9    0.72
UB   H3'    H1   1.25    0.85
UB   C2'    CT   1.9    0.72
UB   H2'    H1   1.25    0.85
UB   O2'    OH   1.535    0.85
UB   HO2'    HO   1.05    0.85
UB   O3'    OS   2.00    0.80 
U   P    P   2.00    0.80 
U   OP1    O2   1.48    0.85
U   OP2    O2   1.48    0.85
U   O5'    OS   2.00    0.80 
U   C5'    CT   1.9    0.72
U   H5'    H1   1.25    0.85
U   H5''    H1   1.25    0.85
U   C4'    CT   1.9    0.72
U   H4'    H1   1.25    0.85
U   O4'    OS   2.00    0.80 
U   C1'    CT   1.9    0.72
U   H1'    H2   2.00    0.80 
U   N1    N*   2.00    0.80 
U   C6    CM   2.00    0.80 
U   H6    H4   1.15    0.85
U   C5    CM   2.00    0.80 
U   H5    HA   1.25    0.85
U   C4    C   1.875    0.72
U   O4    O   1.48    0.85
U   N3    NA   1.7063    0.79
U   H3    H   1.15    0.85
U   C2    C   1.875    0.72
U   O2    O   1.48    0.85
U   C3'    CT   1.9    0.72
U   H3'    H1   1.25    0.85
U   C2'    CT   1.9    0.72
U   H2'    H1   1.25    0.85
U   O2'    OH   1.535    0.85
U   HO2'    HO   1.05    0.85
U   O3'    OS   2.00    0.80 
UE   P    P   2.00    0.80 
UE   OP1    O2   1.48    0.85
UE   OP2    O2   1.48    0.85
UE   O5'    OS   2.00    0.80 
UE   C5'    CT   1.9    0.72
UE   H5'    H1   1.25    0.85
UE   H5''    H1   1.25    0.85
UE   C4'    CT   1.9    0.72
UE   H4'    H1   1.25    0.85
UE   O4'    OS   2.00    0.80 
UE   C1'    CT   1.9    0.72
UE   H1'    H2   2.00    0.80 
UE   N1    N*   2.00    0.80 
UE   C6    CM   2.00    0.80 
UE   H6    H4   1.15    0.85
UE   C5    CM   2.00    0.80 
UE   H5    HA   1.25    0.85
UE   C4    C   1.875    0.72
UE   O4    O   1.48    0.85
UE   N3    NA   1.7063    0.79
UE   H3    H   1.15    0.85
UE   C2    C   1.875    0.72
UE   O2    O   1.48    0.85
UE   C3'    CT   1.9    0.72
UE   H3'    H1   1.25    0.85
UE   C2'    CT   1.9    0.72
UE   H2'    H1   1.25    0.85
UE   O2'    OH   1.535    0.85
UE   HO2'    HO   1.05    0.85
UE   O3'    OH   1.535    0.85
UE   HO3'    HO   1.05    0.85
GB   HO5'    HO   1.05    0.85
GB   O5'    OH   1.535    0.85
GB   C5'    CT   1.9    0.72
GB   H5'    H1   1.25    0.85
GB   H5''    H1   1.25    0.85
GB   C4'    CT   1.9    0.72
GB   H4'    H1   1.25    0.85
GB   O4'    OS   2.00    0.80 
GB   C1'    CT   1.9    0.72
GB   H1'    H2   2.00    0.80 
GB   N9    N*   2.00    0.80 
GB   C8    CK   2.00    0.80 
GB   H8    H5   1.25    0.85
GB   N7    NB   1.7063    0.79
GB   C5    CB   1.875    0.72
GB   C6    C   1.875    0.72
GB   O6    O   1.48    0.85
GB   N1    NA   1.7063    0.79
GB   H1    H   1.15    0.85
GB   C2    CA   1.875    0.72
GB   N2    N2   1.7063    0.79
GB   H21    H   1.15    0.85
GB   H22    H   1.15    0.85
GB   N3    NC   2.00    0.80 
GB   C4    CB   1.875    0.72
GB   C3'    CT   1.9    0.72
GB   H3'    H1   1.25    0.85
GB   C2'    CT   1.9    0.72
GB   H2'    H1   1.25    0.85
GB   O2'    OH   1.535    0.85
GB   HO2'    HO   1.05    0.85
GB   O3'    OS   2.00    0.80 
G   P    P   2.00    0.80 
G   OP1    O2   1.48    0.85
G   OP2    O2   1.48    0.85
G   O5'    OS   2.00    0.80 
G   C5'    CT   1.9    0.72
G   H5'    H1   1.25    0.85
G   H5''    H1   1.25    0.85
G   C4'    CT   1.9    0.72
G   H4'    H1   1.25    0.85
G   O4'    OS   2.00    0.80 
G   C1'    CT   1.9    0.72
G   H1'    H2   2.00    0.80 
G   N9    N*   2.00    0.80 
G   C8    CK   2.00    0.80 
G   H8    H5   1.25    0.85
G   N7    NB   1.7063    0.79
G   C5    CB   1.875    0.72
G   C6    C   1.875    0.72
G   O6    O   1.48    0.85
G   N1    NA   1.7063    0.79
G   H1    H   1.15    0.85
G   C2    CA   1.875    0.72
G   N2    N2   1.7063    0.79
G   H21    H   1.15    0.85
G   H22    H   1.15    0.85
G   N3    NC   2.00    0.80 
G   C4    CB   1.875    0.72
G   C3'    CT   1.9    0.72
G   H3'    H1   1.25    0.85
G   C2'    CT   1.9    0.72
G   H2'    H1   1.25    0.85
G   O2'    OH   1.535    0.85
G   HO2'    HO   1.05    0.85
G   O3'    OS   2.00    0.80 
GE   P    P   2.00    0.80 
GE   OP1    O2   1.48    0.85
GE   OP2    O2   1.48    0.85
GE   O5'    OS   2.00    0.80 
GE   C5'    CT   1.9    0.72
GE   H5'    H1   1.25    0.85
GE   H5''    H1   1.25    0.85
GE   C4'    CT   1.9    0.72
GE   H4'    H1   1.25    0.85
GE   O4'    OS   2.00    0.80 
GE   C1'    CT   1.9    0.72
GE   H1'    H2   2.00    0.80 
GE   N9    N*   2.00    0.80 
GE   C8    CK   2.00    0.80 
GE   H8    H5   1.25    0.85
GE   N7    NB   1.7063    0.79
GE   C5    CB   1.875    0.72
GE   C6    C   1.875    0.72
GE   O6    O   1.48    0.85
GE   N1    NA   1.7063    0.79
GE   H1    H   1.15    0.85
GE   C2    CA   1.875    0.72
GE   N2    N2   1.7063    0.79
GE   H21    H   1.15    0.85
GE   H22    H   1.15    0.85
GE   N3    NC   2.00    0.80 
GE   C4    CB   1.875    0.72
GE   C3'    CT   1.9    0.72
GE   H3'    H1   1.25    0.85
GE   C2'    CT   1.9    0.72
GE   H2'    H1   1.25    0.85
GE   O2'    OH   1.535    0.85
GE   HO2'    HO   1.05    0.85
GE   O3'    OH   1.535    0.85
GE   HO3'    HO   1.05    0.85
CB   HO5'    HO   1.05    0.85
CB   O5'    OH   1.535    0.85
CB   C5'    CT   1.9    0.72
CB   H5'    H1   1.25    0.85
CB   H5''    H1   1.25    0.85
CB   C4'    CT   1.9    0.72
CB   H4'    H1   1.25    0.85
CB   O4'    OS   2.00    0.80 
CB   C1'    CT   1.9    0.72
CB   H1'    H2   2.00    0.80 
CB   N1    N*   2.00    0.80 
CB   C6    CM   2.00    0.80 
CB   H6    H4   1.15    0.85
CB   C5    CM   2.00    0.80 
CB   H5    HA   1.25    0.85
CB   C4    CA   1.875    0.72
CB   N4    N2   1.7063    0.79
CB   H41    H   1.15    0.85
CB   H42    H   1.15    0.85
CB   N3    NC   2.00    0.80 
CB   C2    C   1.875    0.72
CB   O2    O   1.48    0.85
CB   C3'    CT   1.9    0.72
CB   H3'    H1   1.25    0.85
CB   C2'    CT   1.9    0.72
CB   H2'    H1   1.25    0.85
CB   O2'    OH   1.535    0.85
CB   HO2'    HO   1.05    0.85
CB   O3'    OS   2.00    0.80 
C   P    P   2.00    0.80 
C   OP1    O2   1.48    0.85
C   OP2    O2   1.48    0.85
C   O5'    OS   2.00    0.80 
C   C5'    CT   1.9    0.72
C   H5'    H1   1.25    0.85
C   H5''    H1   1.25    0.85
C   C4'    CT   1.9    0.72
C   H4'    H1   1.25    0.85
C   O4'    OS   2.00    0.80 
C   C1'    CT   1.9    0.72
C   H1'    H2   2.00    0.80 
C   N1    N*   2.00    0.80 
C   C6    CM   2.00    0.80 
C   H6    H4   1.15    0.85
C   C5    CM   2.00    0.80 
C   H5    HA   1.25    0.85
C   C4    CA   1.875    0.72
C   N4    N2   1.7063    0.79
C   H41    H   1.15    0.85
C   H42    H   1.15    0.85
C   N3    NC   2.00    0.80 
C   C2    C   1.875    0.72
C   O2    O   1.48    0.85
C   C3'    CT   1.9    0.72
C   H3'    H1   1.25    0.85
C   C2'    CT   1.9    0.72
C   H2'    H1   1.25    0.85
C   O2'    OH   1.535    0.85
C   HO2'    HO   1.05    0.85
C   O3'    OS   2.00    0.80 
CE   P    P   2.00    0.80 
CE   OP1    O2   1.48    0.85
CE   OP2    O2   1.48    0.85
CE   O5'    OS   2.00    0.80 
CE   C5'    CT   1.9    0.72
CE   H5'    H1   1.25    0.85
CE   H5''    H1   1.25    0.85
CE   C4'    CT   1.9    0.72
CE   H4'    H1   1.25    0.85
CE   O4'    OS   2.00    0.80 
CE   C1'    CT   1.9    0.72
CE   H1'    H2   2.00    0.80 
CE   N1    N*   2.00    0.80 
CE   C6    CM   2.00    0.80 
CE   H6    H4   1.15    0.85
CE   C5    CM   2.00    0.80 
CE   H5    HA   1.25    0.85
CE   C4    CA   1.875    0.72
CE   N4    N2   1.7063    0.79
CE   H41    H   1.15    0.85
CE   H42    H   1.15    0.85
CE   N3    NC   2.00    0.80 
CE   C2    C   1.875    0.72
CE   O2    O   1.48    0.85
CE   C3'    CT   1.9    0.72
CE   H3'    H1   1.25    0.85
CE   C2'    CT   1.9    0.72
CE   H2'    H1   1.25    0.85
CE   O2'    OH   1.535    0.85
CE   HO2'    HO   1.05    0.85
CE   O3'    OH   1.535    0.85
CE   HO3'    HO   1.05    0.85
