# Solvent params for SGB 

# residue  PDBatomName radNpSGB radNpType SGBNpGamma  SGBNpType

argz _HE_  0.9960   0.8600   0.079817800  -1.129220000
argz _HG2  1.4250   1.2500   0.008394800   0.285390400
argz _HG3  1.4250   1.2500   0.008394800   0.285390400
argz _NE_  1.8380   1.6250  -0.098957700   1.177961700
argz _NH1  1.8380   1.6250  -0.098957700   1.177961700
argz _NH2  1.8380   1.6250  -0.098957700   1.177961700
argz _N__  2.1000   1.6250  -0.100907100   4.805719700
argz _OXT  1.6780   1.4800  -0.350477400  15.005156000
argz _O__  1.6780   1.4800  -0.350477400  15.005156000
asn  HD21  0.9960   0.8600   0.079817800  -1.129220000
asn  HD22  0.9960   0.8600   0.079817800  -1.129220000
asn  _CA_  1.9750   1.7500   0.000085900  -0.754493700
asn  _CB_  1.9750   1.7500   0.000085900  -0.754493700
asn  _CG_  2.1120   1.8750  -0.026933700  -0.722204000
asn  _C__  2.1120   1.8750  -0.026933700  -0.722204000
asn  _HA_  1.4250   1.2500   0.008394800   0.285390400
asn  _HB2  1.4250   1.2500   0.008394800   0.285390400
asn  _HB3  1.4250   1.2500   0.008394800   0.285390400
asn  _H__  0.9960   0.8600   0.079817800  -1.129220000
asn  _ND2  1.9200   1.7000   0.168599800  -5.228863800
asn  _N__  1.9200   1.7000   0.168599800  -5.228863800
asn  _OD1  1.6780   1.4800   0.010478200   0.635855300
asn  _O__  1.6780   1.4800   0.010478200   0.635855300
asnb HD21  0.9960   0.8600   0.079817800  -1.129220000
asnb HD22  0.9960   0.8600   0.079817800  -1.129220000
asnb _CA_  1.9750   1.7500   0.000085900  -0.754493700
asnb _CB_  1.9750   1.7500   0.000085900  -0.754493700
asnb _CG_  2.1120   1.8750  -0.026933700  -0.722204000
asnb _C__  2.1120   1.8750  -0.026933700  -0.722204000
asnb _H1_  0.9960   0.8600   0.079817800  -1.129220000
asnb _H2_  0.9960   0.8600   0.079817800  -1.129220000
asnb _H3_  0.9960   0.8600   0.079817800  -1.129220000
asnb _HA_  1.4250   1.2500   0.008394800   0.285390400
asnb _HB2  1.4250   1.2500   0.008394800   0.285390400
asnb _HB3  1.4250   1.2500   0.008394800   0.285390400
asnb _ND2  1.9200   1.7000   0.168599800  -5.228863800
asnb _N__  2.1000   1.6250  -0.100907100   4.805719700
asnb _OD1  1.6780   1.4800   0.010478200   0.635855300
asnb _O__  1.6780   1.4800   0.010478200   0.635855300
asne HD21  0.9960   0.8600   0.079817800  -1.129220000
asne HD22  0.9960   0.8600   0.079817800  -1.129220000
asne _CA_  1.9750   1.7500   0.000085900  -0.754493700
asne _CB_  1.9750   1.7500   0.000085900  -0.754493700
asne _CG_  2.1120   1.8750  -0.026933700  -0.722204000
asne _C__  2.1120   1.8750  -0.026933700  -0.722204000
asne _HA_  1.4250   1.2500   0.008394800   0.285390400
asne _HB2  1.4250   1.2500   0.008394800   0.285390400
asne _HB3  1.4250   1.2500   0.008394800   0.285390400
asne _H__  0.9960   0.8600   0.079817800  -1.129220000
asne _ND2  1.9200   1.7000   0.168599800  -5.228863800
asne _N__  1.9200   1.7000   0.168599800  -5.228863800
asne _OD1  1.6780   1.4800   0.010478200   0.635855300
asne _OXT  1.6780   1.4800  -0.350477400  15.005156000
asne _O__  1.6780   1.4800  -0.350477400  15.005156000
asnz HD21  0.9960   0.8600   0.079817800  -1.129220000
asnz HD22  0.9960   0.8600   0.079817800  -1.129220000
asnz _CA_  1.9750   1.7500   0.000085900  -0.754493700
asnz _CB_  1.9750   1.7500   0.000085900  -0.754493700
asnz _CG_  2.1120   1.8750  -0.026933700  -0.722204000
asnz _C__  2.1120   1.8750  -0.026933700  -0.722204000
asnz _H1_  0.9960   0.8600   0.079817800  -1.129220000
asnz _H2_  0.9960   0.8600   0.079817800  -1.129220000
asnz _H3_  0.9960   0.8600   0.079817800  -1.129220000
asnz _HA_  1.4250   1.2500   0.008394800   0.285390400
asnz _HB2  1.4250   1.2500   0.008394800   0.285390400
asnz _HB3  1.4250   1.2500   0.008394800   0.285390400
asnz _ND2  1.9200   1.7000   0.168599800  -5.228863800
asnz _N__  2.1000   1.6250  -0.100907100   4.805719700
asnz _OD1  1.6780   1.4800   0.010478200   0.635855300
asnz _OXT  1.6780   1.4800  -0.350477400  15.005156000
asnz _O__  1.6780   1.4800  -0.350477400  15.005156000
asp  _CA_  1.9750   1.7500   0.000085900  -0.754493700
asp  _CB_  1.9750   1.7500   0.000085900  -0.754493700
asp  _CG_  2.1120   1.8750  -0.026933700  -0.722204000
asp  _C__  2.1120   1.8750  -0.026933700  -0.722204000
asp  _HA_  1.4250   1.2500   0.008394800   0.285390400
asp  _HB2  1.4250   1.2500   0.008394800   0.285390400
asp  _HB3  1.4250   1.2500   0.008394800   0.285390400
asp  _H__  0.9960   0.8600   0.079817800  -1.129220000
asp  _N__  1.9200   1.7000   0.168599800  -5.228863800
asp  _OD1  1.6780   1.4800  -0.350477400  15.005156000
asp  _OD2  1.6780   1.4800  -0.350477400  15.005156000
asp  _O__  1.6780   1.4800   0.010478200   0.635855300
aspb _CA_  1.9750   1.7500   0.000085900  -0.754493700
aspb _CB_  1.9750   1.7500   0.000085900  -0.754493700
aspb _CG_  2.1120   1.8750  -0.026933700  -0.722204000
aspb _C__  2.1120   1.8750  -0.026933700  -0.722204000
aspb _H1_  0.9960   0.8600   0.079817800  -1.129220000
aspb _H2_  0.9960   0.8600   0.079817800  -1.129220000
aspb _H3_  0.9960   0.8600   0.079817800  -1.129220000
aspb _HA_  1.4250   1.2500   0.008394800   0.285390400
aspb _HB2  1.4250   1.2500   0.008394800   0.285390400
aspb _HB3  1.4250   1.2500   0.008394800   0.285390400
aspb _N__  2.1000   1.6250  -0.100907100   4.805719700
aspb _OD1  1.6780   1.4800  -0.350477400  15.005156000
